,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
51,"Trump had a bad night in Tulsa. Very low turnout. Even his supporters know that COVID-19 is real and dangerous, and should not be spread at an indoor rally. More importantly, maybe people are catching on that he is a pathological liar and a fraud. Let's keep fighting.",268,1274740131379982341,BernieSanders,Bernie Sanders,Vermont,,2020-06-21 16:25:05,Twitter Web App,441505,56255,,,
52,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",278,1274062332969312257,BernieSanders,Bernie Sanders,Vermont,,2020-06-19 19:31:45,Twitter Web App,252885,44000,,,
53,"120,000 Americans are dead from the worst pandemic in a century, &amp; the President said tonight that he slowed down testing so the public death toll wouldn't be worse.  We still don't have a national testing strategy &amp; Trump's plan is to bury his head. This is a deadly failure.",284,1274536919414771713,SenWarren,Elizabeth Warren,,,2020-06-21 02:57:35,Twitter Web App,74313,17907,,,
54,"Father's Day is a good day to remind people that all phone calls and video calls for incarcerated people should be free in every prison and jail across the country. Not just during a pandemic, not just during holidays, not as a special privilege. But for everyone, all year round.",280,1274714697435144192,ClintSmithIII,Clint Smith,,,2020-06-21 14:44:01,Twitter Web App,120702,30626,,,
55,"The Trump admin. plans to end federal funding and support for coronavirus testing sites at the end of this month, @NBCNews has learned. https://t.co/6JPPHra2Xk",159,1275823820448976897,CNBCnow,CNBC Now,,,2020-06-24 16:11:17,Twitter Media Studio,15250,16218,,,
56,BREAKING: Trump is ending funding for 13 coronavirus testing sites in 5 states. This is an example of Trump slowing testing in broad daylight. It's criminal.,157,1275880504869486594,funder,Scott Dworkin,,,2020-06-24 19:56:31,Twitter Web App,76249,27511,,,
57,"6200. That could have been a Zoom meeting.   Same energy, minus the #coronavirus risk. https://t.co/Ozh77k6ixF",110,1274859015793774597,TeamPelosi,Nancy Pelosi,San Francisco,,2020-06-22 00:17:29,Twitter for iPhone,106689,20797,,,
58,BREAKING: Trump just confirmed he slowed coronavirus testing because it looked bad for him. Americans got sick and died because of this fraud and negligence. Trump belongs in prison for the rest of his life. Not joking.,219,1275109452954378240,funder,Scott Dworkin,,,2020-06-22 16:52:38,Twitter Web App,157594,40750,,,
59,When I requested FEMA to stand up a Coronavirus test site in South Jersey they told me the White House said no. Now we know why. https://t.co/dUm6SC1Nkc,152,1274517957901778944,RepAndyKimNJ,RepAndyKim,"Moorestown, NJ",,2020-06-21 01:42:15,Twitter for iPhone,54988,21992,,,
60,Stunning: More than 20% of Arizona's COVID tests reported today came back positive.  New York is down to around 1%.,115,1274057196670722049,StevenTDennis,Steven Dennis,"Washington, DC",,2020-06-19 19:11:21,Twitter Web App,51633,13525,,,
61,“It really does feel like the U.S. has given up.” -European scientist.  https://t.co/A910VQq7mX https://t.co/xl8BuqqJ2n,119,1273973204047069184,ASlavitt,Andy Slavitt @ 🏡,"Edina, MN",,2020-06-19 13:37:35,Twitter for iPad,54042,26569,,,
62,Jaw-dropping to read that the German success re the coronavirus pandemic was based on U.S. research that was ignored or dismissed by the U.S. government! --&gt; https://t.co/zTdjB8JGM6 https://t.co/Yt7tyz070v,208,1274056283575005187,GlennKesslerWP,Glenn Kessler,"ÜT: 38.9327999,-77.1524351",,2020-06-19 19:07:43,Twitter Web App,18510,10293,,,
63,"It is ridiculous for External Affairs Minister to meet with his Chinese counter part to discuss Corona Pandemic. PM must order him not to go. Or instead send Harsh Vardhan Health Minister. There is now a need for Namo to publicly ask Xi, by name, to clear out from Galwan Valley.",279,1273860522975195136,Swamy39,Subramanian Swamy,,,2020-06-19 06:09:50,TweetCaster for iOS,44556,9331,,,
64,"BREAKING: Oklahoma coronavirus cases are up a jaw-dropping 140% since last week, making it one of the hardest hit states right now. (Via @DrEricDing) Trump needs to cancel his Tulsa rally.",188,1273958768229978119,funder,Scott Dworkin,,,2020-06-19 12:40:14,Twitter for iPhone,23013,7219,,,
65,"If coronavirus cases are increasing, then we can thanks the ""mostly peaceful protestors"" as it takes 10-14 days for the virus to present itself.   And thanks to the blue-state mayors and governors and so-called experts who sanctified it all.",241,1274055598544490499,marklevinshow,Mark R. Levin,Underground Bunker,,2020-06-19 19:05:00,Twitter for Android,22229,7625,,,
66,"After seeing half a country actively reject wearing a mask during a pandemic, I would like to apologize to the filmmakers of every horror movie ever made for calling their characters unbelievably dumb for going into the murder basement.",236,1273877427869999105,matthewfederman,Matthew Federman,"Los Angeles, CA",,2020-06-19 07:17:00,Twitter Web App,39622,10776,,,
